Request Number,Docket Record Name,Organization Name,Grant Amount,grant_amount_number,Amount (Fund-Coding),program_areas,strategies,Grant Purpose,Award Date,Fund Name,Award Year,Department
18-07605,"18-07605 - Alternatives for Community and Environment, Inc.","Alternatives for Community and Environment, Inc.","$600,000.00","600,000.00","$300,000.00",Climate,Clean Energy,to provide clean energy and mobility program support,6/18/2019,Grants,2019,Climate
18-07605--2,"18-07605--2 - Alternatives for Community and Environment, Inc.","Alternatives for Community and Environment, Inc.","$600,000.00","600,000.00","$300,000.00",Climate,Mobility,to provide clean energy and mobility program support,6/18/2019,Grants,2019,Climate
19-07732,"19-07732 - Greater Worcester Community Foundation, Inc.","Greater Worcester Community Foundation, Inc.","$1,000,000.00","1,000,000.00","$500,000.00",Arts & Creativity,Activating Public Support,"To support grantmaking, capacity-building activities, donor cultivation, and implementation of Worcester?Äôs Cultural Plan, including serving as lead coordinator of the annual public plan review process",9/18/2019,Grants,2019,Arts
19-07732--2,"19-07732--2 - Greater Worcester Community Foundation, Inc.","Greater Worcester Community Foundation, Inc.","$1,000,000.00","1,000,000.00","$500,000.00",Arts & Creativity,Adapting Boldly,"To support grantmaking, capacity-building activities, donor cultivation, and implementation of Worcester?Äôs Cultural Plan, including serving as lead coordinator of the annual public plan review process",9/18/2019,Grants,2019,Arts
19-07733,"19-07733 - The Berkshire Taconic Community Foundation, Inc.","The Berkshire Taconic Community Foundation, Inc.","$1,000,000.00","1,000,000.00","$500,000.00",Arts & Creativity,Activating Public Support,"To support quick-turnaround grantmaking, nonprofit capacity and network building, donor engagement, and evaluation to increase community connection and civic engagement through arts participation",9/18/2019,Grants,2019,Arts
19-07733--2,"19-07733--2 - The Berkshire Taconic Community Foundation, Inc.","The Berkshire Taconic Community Foundation, Inc.","$1,000,000.00","1,000,000.00","$500,000.00",Arts & Creativity,Adapting Boldly,"To support quick-turnaround grantmaking, nonprofit capacity and network building, donor engagement, and evaluation to increase community connection and civic engagement through arts participation",9/18/2019,Grants,2019,Arts
19-07734,"19-07734 - Essex County Community Foundation, Inc.","Essex County Community Foundation, Inc.","$1,000,000.00","1,000,000.00","$500,000.00",Arts & Creativity,Activating Public Support,"To support cross-sector grantmaking, municipal and regional cultural planning efforts, training, and community convenings on emergent arts topics",9/18/2019,Grants,2019,Arts
19-07734--2,"19-07734--2 - Essex County Community Foundation, Inc.","Essex County Community Foundation, Inc.","$1,000,000.00","1,000,000.00","$500,000.00",Arts & Creativity,Adapting Boldly,"To support cross-sector grantmaking, municipal and regional cultural planning efforts, training, and community convenings on emergent arts topics",9/18/2019,Grants,2019,Arts
19-07737,19-07737 - Community Foundation of Western Massachusetts,Community Foundation of Western Massachusetts,"$1,000,000.00","1,000,000.00","$500,000.00",Arts & Creativity,Activating Public Support,"To implement the ValleyCreates Initiative, which will promote better connections among artists and arts organizations through collaborative grantmaking, organizational effectiveness training, and strategies to promote diversity, equity, and inclusion (DEI)",9/18/2019,Grants,2019,Arts
19-07737--2,19-07737--2 - Community Foundation of Western Massachusetts,Community Foundation of Western Massachusetts,"$1,000,000.00","1,000,000.00","$500,000.00",Arts & Creativity,Adapting Boldly,"To implement the ValleyCreates Initiative, which will promote better connections among artists and arts organizations through collaborative grantmaking, organizational effectiveness training, and strategies to promote diversity, equity, and inclusion (DEI)",9/18/2019,Grants,2019,Arts
19-07739,"19-07739 - SouthCoast Community Foundation, Inc.","SouthCoast Community Foundation, Inc.","$1,000,000.00","1,000,000.00","$500,000.00",Arts & Creativity,Adapting Boldly,"To support capacity building for small, culturally diverse/immigrant cultural organizations, and strengthen the foundation's own capacity in equity strategies, marketing, and donor relations",9/18/2019,Grants,2019,Arts
